question_id,question
Q05516,would you like to know the early signs of a heartattack
Q05517,would you like to know what happens during a heartattack
Q05518,are you looking for milwaukee journal sentinel reporters
Q05519,are you interested in milwaukee journal sentinel breaking news stories
Q05520,do you want to see the milwaukee journal sentinel building
Q05521,which journal sentinel are you referring to
Q05522,are you interested in seeing articles from the milwaukee journal sentinel
Q05523,are you interested to see website design hosting packages
Q05524,would you like to know what are the best website design and hosting companies
Q05525,were you looking for website design hosting packages
Q05526,are you searching for website design hosting that is free
Q05527,are you looking for templates of website design hosting
Q05528,are you looking for things to do in porterville
Q05529,are you interested in the history of porterville
Q05530,are you looking for places to stay in porterville
Q05531,"do you want to see porterville, california"
Q05532,"do you want to see porterville, south africa"
Q05533,would you like to see porterville churches
Q05534,would you like to see images of classes with the arkadelphia health club
Q05535,would you like to view images of the inside of the arkadelphia health club
Q05536,are you interested in what is offered at the arkadelphia health club
Q05537,do you want to know more about arkadelphia health club
Q05538,are you interested in the sports arkadelphia health club offers
Q05539,would you like to see people exercising at arkadelphia health club
Q05540,did you mean the seven deadly sins in shazam
Q05541,were you referring to the seven deadly sins found in the bible
Q05542,were you interested in the seven deadly sins in fullmetal alchemist perhaps
Q05543,did you want to see infor on the seven deadly sins from the bible
Q05544,ddi you also want to know the seven holy virtues
Q05545,were you interested in the seven deadly sins series
Q05546,would you like to see rocks and gems
Q05547,are you interested in purple rocks and gems
Q05548,does a rock and gem show interest you
Q05549,would you like to see examples of rocks and gems
Q05550,would you like to see an onyx gemstone
Q05551,would you like to see different types of rocks
Q05552,are you looking for a gs pay rate calculator
Q05553,are you interested in the gs pay rate for dc
Q05554,are you looking for the gs pay rate changes over time
Q05555,do you want to know to whom the pay rate applies
Q05556,would you like to see a chart of the pay rate
Q05557,do you want to know who administers the general schedule pay rate
Q05558,would you like a list of atari games
Q05559,"would you like to know about the atari flashback, the world's smallest atari, the computer video game console, or some other atari"
Q05560,would you like the history of the atari video game franchise
Q05561,would you like to see atari games
Q05562,would you like to see atari consoles
Q05563,would you like to see atari parts
Q05564,are you asking how to dispose of lead acid batteries
Q05565,are you inquiring as to what happens to lead acid batteries when they are recycled
Q05566,are you looking into reusing lead acid batteries
Q05567,are you interested in regulations for recycling lead acid batteries
Q05568,are you interested in recycling lead acid batteries facilities
Q05569,are you looking for recyling lead acid batteries for money
Q05570,what color flame design are you looking for
Q05571,are you looking for flame tattoos
Q05572,are you looking for flame designs on cars
Q05573,are you browsing for flame designs in sticker form
Q05574,would you like to get a flame design tattoo
Q05575,do you want to see nail art with flame designs
Q05576,did you want actual images of civil war battles in south carolina
Q05577,were you wanting a map of civil war battle locations in south carolina
Q05578,were you interested in other civil war battle sites as well
Q05579,would you like to see pictures of south carolina during the civil war
Q05580,would you like to see soldiers from the civil war
Q05581,would you like to see a map
Q05582,do you want to see a map
Q05583,do you want to see their logo
Q05584,do you want to see graduation pictures
Q05585,are you interested in obtaining an associate's degree from the university of phoenix
Q05586,do you want to see what bachelor's degrees are available from the university of phoenix
Q05587,are you looking to pursue a master's degree from the university of phoenix
Q05588,would you like to see the family tree with pictures or text
Q05589,would you like to see pictures of obama with his family in kenya
Q05590,are you interested in other presidential family trees as well
Q05591,are you interested in president obama's family posed near trees
Q05592,are you looking for information about the obamas and the national christmas tree
Q05593,is the ancestral heritage of president obama what you are concerned with
Q05594,did you want to see real estate appraisal forms
Q05595,were you interested in infographics about home appraisals
Q05596,did you want to see other types of appraisal information
Q05597,did you want information about the techniques used in painting the last supper
Q05598,did you want information about the painter of the last supper
Q05599,are you interested in the location of the last supper
Q05600,would you like to see photos of the painting
Q05601,would you like to see the painting in a museum
Q05602,would you like to see photos of the artists
Q05603,would you like an infographic on barrett's esophagus
Q05604,would you like to view images of what barret's esophagus looks like from the inside
Q05605,would you like to know more about what foods to eat and to avoid with barrett's esophagus
Q05606,do you want to know what games are available from espn sports on the wii platform
Q05607,do you want to see pictures of espn world of sports in florida
Q05608,do you want to see the sportscasters that are on espn sports
Q05609,which espn news shows do you watch
Q05610,are you interested in the espn monday night football annoucers
Q05611,which espn personalities are you interested in learning about
Q05612,would you like to find out which doctors treats carpal tunnel syndrome
Q05613,would you like information about carpal tunnel treatments
Q05614,did you want more information regarding carpal tunnel syndrome symptoms
Q05615,were you interested in treatment for carpal tunnel syndrome
Q05616,would you like to view exercises for carpal tunnel syndrome
Q05617,would you like to images of ron howard
Q05618,are you interested in director ron howard
Q05619,do you want a list of roles ron howard has played
Q05620,did you want to see pictures of ron howard in his acting roles
Q05621,would you like to know which movies ron howard has directed
Q05622,are you interested in ron howard's famous family members
Q05623,are you looking for weatherstripping on doors
Q05624,do you want information on weatherstripping
Q05625,would you like to know other ways to winterize your home
Q05626,are you interested in weather stripping for your home or car
Q05627,what type of weather stripping are you referring to
Q05628,would like to know how to install weather stripping
Q05629,are you interested in templates for wedding expenses
Q05630,do you want to see wedding budge calculators
Q05631,are you referring to a physical calculator
Q05632,are you interested in business phone services
Q05633,do you need a voip phone service
Q05634,do you need a whole system of internet phones
Q05635,are you searching fo rinternet phone service providers
Q05636,would you like infographics regarding voip
Q05637,were you wanting to see a voip box
Q05638,would you like to see the the cheapest internet providers
Q05639,would you like a home package deals
Q05640,are you looking for cheap ways to purchase internet traffic
Q05641,are you interested in cheap internet
Q05642,would you like news on cheap internet
Q05643,do you want to see deals on cheap internet
Q05644,are you interested in the steps of dmv registeration in va
Q05645,are you looking for locations in va for dmv registeration
Q05646,would you like to see va plate variations
Q05647,are you interested in forms needed for vehicle registration in va
Q05648,which brand of pressure washer are you looking for today
Q05649,what color would you like your power washer to be
Q05650,would you like to view a series of before and after images of pressure washer cleanings
Q05651,are you interested in buying cleaning solutions to put in pressure washers
Q05652,are you looking for individual pressure washer machines
Q05653,can you show me the map of the continental plates
Q05654,would you like to see a map
Q05655,would you like to see how plates converge
Q05656,would you like to see when plates pull apart
Q00051,are you curious what a land surveyor does
Q01326,are you seeking the most andor least affected areas of flooding during irene in manville nj
Q03156,would you like a history of the cherokee tribe
Q01916,do you want to buy some parts for this equipment
Q00062,are you having forearm pain
Q02806,what is the specific occasion you are looking to buy a teddy bear for
Q01638,do you need information about a volvo dealership
Q01432,are you wondering how a pressure washer works
Q01032,are you looking for specific neil young songs
Q03106,who is ombudsman of uss carl vilson
Q02503,have you used jackson hewitt before
Q00653,are you looking for a particular casino in french lick
Q01799,do you want directions to hoboken
Q01562,do you like to know capital gains tax on real estate
Q02965,what would you like to learn about the poconos
Q01344,are you troubleshooting or trying to repair the unit
Q01894,do you want the text or a video
Q03886,would you like to see some pictures of it
Q02945,what would you like to know about fidel alejandro castro ruz
Q00955,are you looking for neil young tour dates
Q02364,do you want to know who the preesident of south africa is
Q02791,what information do you need about bart sf
Q03039,which model of volvo are you interested in getting information about
Q02227,do you want to know the most important events of george bush srs life
Q01098,are you looking for the us civil servant pay scale
Q01125,are you looking for websites that describe angular cheilits
Q00559,are you interested in which institutions deal with this medical condition
Q01024,are you looking for specific fanrelated information
Q02847,what major are you interested in
Q02197,do you want to know the country where rice was created
Q02755,what conent would you like about roosevelt island
Q03486,would you like to know how to prevent carpal tunnel syndrome
Q03614,would you like to know the main events of the war
Q00278,are you interested in learning about historical dictators
Q02180,do you want to know the best time to visit churchill downs is
Q01747,do you prefer long or short articles
Q02621,is there anywhere in california youd like to go visit
Q03544,would you like to know more about the city
Q02634,is this tangible personal property tax just for you
Q00596,are you looking for a certain store location
Q01198,are you putting the ivy on a trellis
Q02456,do you want to take a class about raised gardens
Q01077,are you looking for the latest tennessee titans scores
Q02098,do you want to know how to plant a vine for shade
Q01151,are you looking to do this with a specific material
Q01790,do you want an app for the sentinel
Q02546,how much would you like to spend on a hayride
Q01676,do you need pain medication to accompany your bph treatment
Q03839,would you like to see details of the most recent nicolas cage movie
Q02840,what level of experience swould the gold classes target
Q01044,are you looking for templates to print out for poem in your pocket day
Q02628,is this an emergency
Q00842,are you looking for furniture
Q00360,are you interested in pvc pipe
Q02468,do you watch lawbased television
Q00134,are you interested in an online site for diabetes
Q02940,what would you like to find the mean of
Q00066,are you in the beginning or more advanced stages of getting organized
Q01671,do you need more information about greek history
Q03361,would you like to how to adopt a dog
Q03751,would you like to learn about tractors
Q00570,are you interested inn information about the national park
Q00385,are you interested in seeing customer reviews of the ford edge
Q01366,are you trying to find out about the kcs mental health clinic
Q02512,how do you intend to use hp mini 2140
Q02203,do you want to know the field o medicine doctor zhivago practices
Q03685,would you like to know where cannellini beans come from
Q00929,are you looking for legal forms
Q02942,what would you like to know about brazil
Q01758,do you want a designer dog
Q01092,are you looking for the script for the music man
Q02161,do you want to know more about the different types of ocd
Q03807,would you like to see a list of businesses near you that repair ford edges
Q02982,where are you looking to grow the ivy
Q01935,do you want to find an online forum about bhp treatment
Q03345,would you like to find out more about the origin of the name teddy bear
Q02200,do you want to know the differences between the novel and the movie
Q01815,do you want information about espn sports personalities
Q03713,would you like to know where you can watch the tv show mister rogers
Q02016,do you want to know all of the patron saints
Q03637,would you like to know the years of the american revolution
Q03729,would you like to know your gps coordinates
Q01322,are you seeking information about the former prime minister of cuba
Q03904,would you like to see the top reviews for universal animal cuts
Q03801,would you like to see a chart to help you identify spider bites
Q00335,are you interested in news articles on wind power
Q00961,are you looking for outpatient services in mayo clinic
Q01096,are you looking for the symptoms of this disease
Q02186,do you want to know the common features of hip roofs
Q02360,do you want to know who sings i will survive
Q03657,would you like to know what happened during the civil rights movement
Q01460,are you wondering which provider has the cheapest internet
Q01229,are you referring to facebook instagram linkedin or twitter regarding educational advantages
Q02347,do you want to know which dogs have won the guinness world record title of tallest dog
Q03885,would you like to see some pictures of designer dog breeds
Q00871,are you looking for information about any specific federal agencies
Q01642,do you need information about furniture arrangement
Q02682,want to know which antennas ham radios use
Q02604,is there a specific time period of nba records you are looking for
Q00623,are you looking for a garden in you area
Q03831,would you like to see alternative retirement accounts
Q00065,are you in interested in the animal or the manufacturing company
Q00734,are you looking for any bundles or deals
Q01723,do you need to know the date for 2019
Q00516,are you interested in tornado disasters
Q00987,are you looking for requirements to become a food assistance
Q03513,would you like to know irons atomic number or mass
Q00703,are you looking for a test to check for ocd
Q03566,would you like to know other books written by louis sachar
Q01727,do you need to know what causes it
Q02113,do you want to know if an indexed annuity a good investment
Q00250,are you interested in insolation
Q00096,are you interested in a pressure distributon design 2 feet of absorbant soil
Q03459,would you like to know how many battles were fought in south carolina
Q02256,do you want to know the timeline of flooding in manville nj because of hurricane irene
Q00586,are you intested in statistics on expats residing in india
Q00444,are you interested in the history of gps systems in golf
Q00986,are you looking for regulations related to your search
Q01784,do you want a specific brand
Q03369,would you like to know about blushing
Q03245,would you like me to tell you why the american revolution began
Q02261,do you want to know unusual designer dog breeds
Q00056,are you experiencing joint issues
Q01818,do you want information about the arizona game and fish department
Q01338,are you talking about the navel academy
Q01317,are you searching for your sat scores
Q03509,would you like to know if your company adheres to equal opportunity employment
Q03783,would you like to read news material and bulletins from the maryland department of natural resources
Q02078,do you want to know how to become an occupational therapist
Q00208,are you interested in folk remedies from a specific era
Q00381,are you interested in seasonal activities
Q02312,do you want to know when he was alive
Q01870,do you want suggestions for things to do in old town scottsdale
Q02957,what would you like to know about traverse city
Q01383,are you trying to look for kucoin shares cryptocurrency
Q02878,what specific brand of dark chocolate are you interested in
Q02134,do you want to know if there are current civil rights movements
Q03421,would you like to know about the cast of this movie
Q01293,are you referring to uncooked eggs or an egg product
Q02860,what place do you want a map of
Q01739,do you need to see what is sold there
Q01846,do you want more information about what an indexed annuity is
Q02083,do you want to know how to cure it
Q01556,do you know what color of hair dye to use
Q02917,what type of furniture are you looking for
Q01268,are you referring to the mcdonalds pink slime
Q03575,would you like to know the address of mayo clinic jacksonville fl
Q01683,do you need specific forms to fill out
Q02466,do you want to watch the music man film
Q02720,what area do you need an occupational therapist in
Q00646,are you looking for a medication
Q02273,do you want to know what channel espn is
Q03661,would you like to know what movie star portrayed brewster in the movie the aviator and what award the movie star was nominated for the performance
Q03884,would you like to see some different exercises which can be done with this equipment
Q03580,would you like to know the best way to clean a toilet
Q01002,are you looking for ron howard biographies
Q01302,are you searching for an address for the schools
Q00199,are you interested in finding lodging at sangre de cristo mountains
Q00800,are you looking for dieting that involves no medications
Q02453,do you want to sell used car parts
Q03294,would you like to be hired by french lick casino and resort
Q01622,do you need directions to see the last supper painting
Q01926,do you want to download drivers for the hp mini 2140
Q01782,do you want a pressure washer with a certain engine
Q01892,do you want the population of south africa
Q00515,are you interested in tips for including more magnesium rich foods into your daily feet
Q01078,are you looking for the location of michworks
Q03757,would you like to learn if jehovahs witnesses accept medical treatment
Q02952,what would you like to know about the afghanistan flag
Q03758,would you like to learn more about autism
Q02826,what kind of medium do you want this information to be in
Q01456,are you wondering where porterville is
Q00725,are you looking for all the ingredients for chicken soup
Q03379,would you like to know about environmental benefits of sustainable lead acid battery recycling
Q02473,do you wish to know how music videos started
Q02396,do you want to look at anything that has a black and gold background
Q00836,are you looking for flights to vanuatu
Q00269,are you interested in knowng the estimated net worth of the bewitched cast
Q02026,do you want to know facts about bhp treatment
Q01224,are you referring to bellevue nebraska
Q03204,would you like directions to the nearest iowa food stamp office
Q03058,which part of volvo are you interested in
Q00564,are you interested in who is the ceo
Q03049,which online store eould you like to get the dog clean up bags from
Q01760,do you want a history of the nile
Q02805,what is the salary range of a land surveyor
Q00485,are you interested in the racing schedule
Q03856,would you like to see jobs around you that are equal opportunity employers
Q03110,who was the first to study the brain and memory
Q01391,are you trying to remove rotten egg smell
Q03540,would you like to know more about sir stamford raffles
Q02426,do you want to see a map of the continental united states
Q00997,are you looking for reviews of the university of phoenix
Q00170,are you interested in civil war battle memorials and other structures in south carolina
Q00100,are you interested in a schedule of events from churchill downs
Q02697,what about norway spruce are you looking for
Q01450,are you wondering what rock art is
Q00186,are you interested in downloading the album the wall
Q03470,would you like to know how the uss cole was named
Q03354,would you like to hear about treatments
Q01087,are you looking for the news paper the sun
Q02663,should i search nearby stores for discounts on a toilet
Q00169,are you interested in child support resources
Q00573,are you interested on when er tv show started
Q03216,would you like history from this device alone or would you like history from all devices
Q01615,do you need directions somewhere
Q00015,are there any specific details that you are trying to find out
Q00667,are you looking for a specific battle
Q03633,would you like to know the vote counts for a specific candidate
Q00588,are you located in jacksonville fl
Q00106,are you interested in a specific aspect of uplift at yellowstone national park
Q00426,are you interested in the definition or the symptoms and causes
Q00631,are you looking for a job in computer programming
Q01101,are you looking for things to do in bellevue
Q02097,do you want to know how to perform this test
Q00073,are you interested in a balding cure for men or women
Q00793,are you looking for current news related to starbucks
Q00175,are you interested in comparing university of phoenix with other universities in any specific aspect
Q02181,do you want to know the best vines for providing shade
Q00144,are you interested in atari 2600
Q00861,are you looking for home remedies for tooth pain
Q02224,do you want to know the middle name for a specific president of the united states
Q01252,are you referring to the arizona state wildlife department
Q00012,are the nba records for the division or game in its entirety
Q00392,are you interested in signs you may have barretts esophagus
Q00514,are you interested in the years inuyasha was shown in tv
Q01019,are you looking for some sample tests
Q02133,do you want to know if the tennessee highway patrol has reported any accidents
Q02142,do you want to know information about the patrol
Q01295,are you referrring how to get organized
Q02285,do you want to know what jobs are available at the maryland department of natural resources
Q03212,would you like historic information
Q02422,do you want to rent or buy a condo
Q01987,do you want to know about railroads
Q01165,are you looking to purchase a home theater system
Q00779,are you looking for cell phones for kids
Q03553,would you like to know more about the mayo clinic facilities and services
Q01141,are you looking to buy a volvo
Q02549,how to cheat at the game memory
Q03237,would you like instructions on how to use a sewing machine
Q03178,would you like a lyric video
Q03928,would you like to watch videos about how figs grow andor how to prepare them
Q02417,do you want to read reviews of hp mini 2140
Q01890,do you want the middle names of all of the presidents
Q02976,when are you going to the pococnos
Q03931,would you like videos about floods associated with hurricane irene
Q03446,would you like to know how big they grow
Q00148,are you interested in awards received by the band
Q03191,would you like all conent included about roosevelt island
Q03702,would you like to know where the uss carl vinson is at right now
Q03524,would you like to know more about dieting products for weight loss
Q01026,are you looking for specific information about starbucks gift cards
Q03488,would you like to know how to protect wood from carpenterter bees
Q03195,would you like application information for the michegan works program
Q00619,are you looking for a filmography of all of nicolas cages work
Q00754,are you looking for anything specific in terms of equal opportunity discrimination
Q02809,what is your budget for a home theater system
Q01328,are you simply seeking general information about carpenterter bees
Q00534,are you interested in watching clips of mister rogers neighborhood
Q03282,would you like the location of the ritz carlton lake las vegas
Q00962,are you looking for pages that compare mitchell college with others
Q03568,would you like to know risks associated with angular cheilitis
Q03578,would you like to know the average charitable donation based on income level in 2019
Q03772,would you like to play atari arcade games online
Q01945,do you want to find some resoutces
Q02647,may i provide you a list of best credit reporting agencies
Q01669,do you need mediciation for fibromyalgia
Q00904,are you looking for information on the life cycle of worms
Q03371,would you like to know about brewsters college education degree and work history
Q02126,do you want to know if it is possible to recycle lead acid batteries
Q01665,do you need instructions to do the test
Q01857,do you want reviews of les miserables from london
Q03784,would you like to read recent news about the rocky mountain news
Q01925,do you want to directions to the local golf retailer
Q01365,are you trying to find online reviews of mgb
Q01089,are you looking for the price of solar water fountains
Q02578,is the color to match your natural color or not
Q00660,are you looking for a recipe
Q02804,what is the most you are willing to spend on a ps 2 game
Q02459,do you want to visit culpeper national cemetery
Q02151,do you want to know more about kid safe earth day activities
Q01398,are you wanting directions to porterville
Q02189,do you want to know the cost of a carotid cavernous fistula treatment
Q01974,do you want to know about covid19 cases onboard the uss carl vinson
Q01675,do you need overview of the most popular brands
Q01564,do you like to know more about the 50 states on the us map
Q02908,what type of articles would you like to read
Q00928,are you looking for learning material for school
Q01662,do you need instructions on how best products to use for growth
Q00518,are you interested in touring elvis presleys home
Q00888,are you looking for information on a type of jewelry manufactured in south dakota
Q02938,what wilsons disease medication are you wanting to know more about
Q02529,how many ingredients do you want to use for this soup
Q01521,do you also need information about oceanic plates
Q02437,do you want to see images of the idaho state flower
Q02605,is there a specific time period you are interested in
Q03218,would you like hours for va dmv registration
Q00355,are you interested in purchasing a ted bear
Q01153,are you looking to eat the mushrooms
Q02023,do you want to know dates for the missions
Q01343,are you tring to locate facts about wind power
Q02462,do you want to watch er tv show
Q02047,do you want to know how many employees work for the tn highway patrol
Q03383,would you like to know about george bush srs family
Q00138,are you interested in any specific events here
Q02889,what symptom of wilsons disease would you like to know more about
Q00452,are you interested in the history of the uss cole
Q00375,are you interested in research studies regarding pink slime in ground beef
Q01390,are you trying to quit smoking
Q01448,are you wondering what pampered chef sells
Q01377,are you trying to find videos about the music man
Q02667,the history of flame design
Q03770,would you like to pick parts yourself from a salvage yard
Q02855,what other specifications do you want the recipe to have
Q01652,do you need information on employment opportunities
Q03841,would you like to see examples of walkers impact on current hair styling
Q02075,do you want to know how to access a us capitol map
Q03882,would you like to see reviews on specific movies and tv shows
Q00466,are you interested in the middle name of the current vice president of the united states
Q02520,how harmful are carpenterter bees
Q03765,would you like to learn more about working with or owning larger breed dogs
Q01494,did you want to know about a particular dog considered the biggest like zeus the great dane
Q02770,what entity are you referring to with this acrocym
Q02144,do you want to know major landmark dates
Q01514,did you want to see a wedding budget based on your income
Q00061,are you having electrical mechanical or maintenance problems with your ford edge
Q01971,do you want to know about built in keyboards
Q00679,are you looking for a specific kind of truck
Q03627,would you like to know the symptoms
Q02869,what salary range are you looking for
Q03601,would you like to know the history of churchill downs
Q01187,are you planning a trip to brazil
Q02125,do you want to know if gps technology is restricted in some locations
Q03616,would you like to know the nearest store to buy cannellini beans in your area
Q00505,are you interested in the treatment costs of lymphoma in dogs
Q01491,did you want the middle name of a particular president
Q01866,do you want specific or general details on battles
Q03169,would you like a list of reviews for the film rain man
Q03041,which neighborhood in cass county are you interested in
Q01648,do you need information in different types that can be made
Q01315,are you searching for the latest technologies involving golf
Q00969,are you looking for physicians in your area that specialize in carpal tunnel syndrome treatment
Q03435,would you like to know about typical or atypical symptoms of heart attack
Q03779,would you like to read about colleges in arkansas
Q00446,are you interested in the history of scottsdale
Q00109,are you interested in a specific costar of a nicolas cage movie
Q03109,who is the party candidate you would like to know more results
Q03341,would you like to find exercises to lower your heart rate
Q02766,what do you want to use the antenna for
Q02633,is this in reference to plumbing or some other sort of plastic product
Q01830,do you want information on sales and discounts
Q03388,would you like to know about horse hooves diseases
Q00900,are you looking for information on the cast and crew for rain man
Q02489,during what time period of elvis presleys life
Q02872,what services do you want to find information about
Q03724,would you like to know who invented the electronic medical record
Q01706,do you need to contact yahoo
Q02629,is this for a school craft or play
Q01584,do you need a map of arkansas
Q00082,are you interested in a haunted hayride in pennsylvania
Q03883,would you like to see services for the culpeper national cemetary today
Q01705,do you need to book a dj for an event
Q03023,which family members of obama are you interested in learning more about
Q03836,would you like to see barretts esophagus references in the news
Q03518,would you like to know more about a certain credit reporting company
Q03305,would you like to buy a book about this topic
Q03005,which area of study are you looking for at unc
Q00825,are you looking for events
Q03290,would you like their names or their meaning
Q02702,what age range would you like to see recommended vldl levels for
Q01142,are you looking to buy an antenna or read more about the antenna
Q01607,do you need any specific tips on decoration
Q01721,do you need to know information about mister rogers
Q00526,are you interested in videos listing the benefits of yoga
Q03523,would you like to know more about chest pain
Q03774,would you like to purchase a weather stripping product
Q02606,is there a specific type of coin that interests you
Q00561,are you interested in who carl vinson was
Q01261,are you referring to the house elvis presley bought in 1956 or 1957
Q00026,are you asking about a man named norway spruce
Q00794,are you looking for current playing list
Q03594,would you like to know the differences between butter and margarine
Q03935,would you the frequencies of various ham radio stations
Q02832,what kind of satellite are you looking for
Q00165,are you interested in buying some
Q02395,do you want to listen to songs from the music man
Q01079,are you looking for the magazine the current
Q03762,would you like to learn more about pvc pipes and fittings
Q01159,are you looking to fix a moth infestation
Q01124,are you looking for webmd websites or mayo clinic websites about angular cheilits
Q03526,would you like to know more about geothermal activities at yellowstone national park
Q03906,would you like to see the usda guidelines regarding pink slime in ground beef
Q00388,are you interested in selling a trombone you own
Q03020,which department are you interested in at mayo clinic jacksonville fl
Q01075,are you looking for the instruction of the kenmore sears gas water heaters
Q03449,would you like to know how diversity helps or harms an organization
Q02168,do you want to know other related tests
Q00629,are you looking for a hotel inside disneyland
Q01685,do you need study information from professors
Q01998,do you want to know about the geology of the san de cristo mountains
Q02848,what makes people think the yellowstone volcano will erupt soon
Q03695,would you like to know where ritz carlton lake las vegas is on a map
Q03721,would you like to know who bombed the uss cole
Q03714,would you like to know whether asbestos exposure cause cancer
Q03253,would you like news about old town scottsdale
Q00819,are you looking for dreams interpretations regarding the bible
Q02971,what year ford edge are you inquiring about
Q02480,do you wnat sports scores
Q02715,what are you trying to learn about diabetes
Q01263,are you referring to the insane person across the street
Q00349,are you interested in presidential middle names for the past presidents of the united states
Q01347,are you trying to build a specific kind of fence
Q03929,would you like tutorials on how to set up ham radio
Q03456,would you like to know how long a lump in the throat occurs for
Q01963,do you want to know a phone number to call
Q00002,a total cholesterol of 180 to 200 mgdl 10 to 111 mmoll or less is considered best levels between 70 and 189 mgdl 39 and 105 mmoll are most often considered too high
Q00726,are you looking for altitude sickness remedies
Q02843,what local rock and gem shows are you looking for from this list
Q00510,are you interested in the updated 2020 rules of golf
Q01005,are you looking for septic system design software
Q01701,do you need tickets for the music man
Q01204,are you referring to a different dr zhivago
Q00880,are you looking for information about the sports facilities at the school
Q00716,are you looking for academic articles about tooth abscesses
Q01471,can i provide you information about frances hodgson burnett
Q01457,are you wondering where the ritz carlton in las vegas is located
Q01481,did universal animal cuts work for you
Q03272,would you like the history of ritz carlton lake las vegas
Q03409,would you like to know about rock and gem shows in washington
Q00751,are you looking for any specific support group in relation to fybromyalgia
Q03870,would you like to see pictures to help you identify spider bites
Q00744,are you looking for any specific information about the business she started
Q00830,are you looking for examples of rock art
Q00731,are you looking for an interview preparation guide
Q02654,or maybe free internet
Q00712,are you looking for a way to make this into a neck tie
Q01367,are you trying to find out how to become a golf instructor
Q02350,do you want to know which planets voyager has visited
Q02308,do you want to know what vines for shade are available in your region
Q00686,are you looking for a specific place here
Q02974,what year of volvo do you need information about
Q00117,are you interested in a specific time period like rap music or the harlem renaissance
Q00899,are you looking for information on the anatomy of horse hooves
Q00147,are you interested in atypical squamous cells in urine
Q03688,would you like to know where frank lloyd wright did most of his work
Q02337,do you want to know where to get a book on the voyager
Q01018,are you looking for some retailers
Q00535,are you interested in ways to fix problems flushing the toilet
Q01804,do you want examples of rock art
Q00903,are you looking for information on the kiwi bird
Q01678,do you need product information
Q03626,would you like to know the size of this product
Q00022,are yoiu looking for information on plate tectonics
Q02371,do you want to knwo vest vines for shade
Q02049,do you want to know how many locations starbucks has
Q01582,do you need a list of who is at most risk of developing carpal tunnel syndrome
Q01901,do you want to adopt from a shelter or an individual owner
Q01509,did you want to know what the tenessee highway patrol cars look like
Q00654,are you looking for a place to buy pressure washer parts
Q00924,are you looking for korean language symbols
Q02103,do you want to know how to treat the injury
Q02985,where can i read about uss carl vilson
Q02027,do you want to know facts about the creature worm
Q01542,do you have forearm pain when extending your arm
Q02611,is there any specific historical movement on your mind
Q01547,do you have questions about the wilson antenna warrenty
Q02277,do you want to know what details are on a us capitol map
Q02857,what part of unc do you want info on
Q01612,do you need details on where jax chemical company is
Q02372,do you want to learn about atypical squamous cells in a pap smear
Q00351,are you interested in printable for middle school kids
Q02363,do you want to know who the people were who started the civil rights movement
Q00582,are you interesting in a certain countrys black history
Q00343,are you interested in paid services
Q00396,are you interested in spider bite symptoms
Q01819,do you want information about the construction of adobe houses
Q00647,are you looking for a medication to adress the symptoms
Q00675,are you looking for a specific hobby store
Q01719,do you need to know how to trun a grill on
Q03162,would you like a list of dinosaur movies
Q02966,what would you like to make with the beef stroganoff
Q02216,do you want to know the legality of dnr
Q02939,what would you like to do in the poconos
Q02393,do you want to learn where to purchase fishing bait
Q00014,are there any important related factors or complications you want to know about regarding carpal tunnel syndrome
Q02229,do you want to know the nearest vet that can help
Q02726,what aspect of pvc are you interested in the manufacturing or the applications
Q01928,do you want to file your income tax online
Q00815,are you looking for doctors that specialize in treating carpal tunnel syndrome
Q01578,do you need a home appraisal
Q00239,are you interested in how solar water fountains work
Q00817,are you looking for doctors that treat sore throats
Q00975,are you looking for places to buy keyboards
Q02892,what theme of halloween are you looking for
Q01621,do you need directions to sangre de cristo mountains
Q03636,would you like to know the weather in kansas city
Q01041,are you looking for symptoms of dog heat
Q03202,would you like directions to local rock and gem shows
Q00823,are you looking for employment with sonoma country medical
Q03372,would you like to know about butter and margarine making process
Q01396,are you wanting a copy of your credit report
Q00883,are you looking for information of a trainer vs a treadmill
Q00973,are you looking for pittsburgh steelers merch
Q00092,are you interested in a particular manufacturer of teddy bears
Q00964,are you looking for parts for the mgb
Q03748,would you like to learn about the real story that inspired the movie
Q03828,would you like to see a reddit page on possible balding cures
Q01655,do you need information on how to ride the bart
Q02415,do you want to read geology of the mountain range
Q03536,would you like to know more about ontarioca airport services
Q01513,did you want to search for a specific site
Q02949,what would you like to know about nicolas cage movies
Q01808,do you want guidelines on how to ace an inteview
Q01341,are you traveling
Q03857,would you like to see local spca or humane societies
Q00386,are you interested in seeing remedies for alleviating a lump in the throat
Q02199,do you want to know the difference between that and other taxes
Q02882,what specific supply would you like to buy for your raised garden
Q02615,is there any specific information that you would like to know about employment requirements at pnl
Q02160,do you want to know more about the books proverbs and galatians in which the seven deadly sins are mentioned
Q00184,are you interested in dinosaur toys
Q01898,do you want to access yahoo mail
Q02875,what size is your toilet
Q02731,what battle of the american revolution are you interested in
Q03104,who do you want to speak with the superintendent or a principal
Q02761,what division of michworks are you interested in
Q01169,are you looking to rent a pressure washer
Q03795,would you like to register a domain name
Q00253,are you interested in inuyasha wiki activity
Q00235,are you interested in how lead acid batteries are recycled
Q01407,are you wanting to find out side effects of common schizophrenia drugs
Q01980,do you want to know about how horse hooves are grown
Q02208,do you want to know the history behind the uss cole
Q00163,are you interested in buying a tv with a computer included
